Organism,Reference,Similarity_Score,Novelty_score,Cluster_Rank,BGC_Type,Compounds,Matched_Organism,Habitat,Source
Colwellia psychrerythraea 34H,BGC0001588.3,0.07,0.93,1,saccharide,exopolysaccharides,Burkholderia pseudomallei 1026b,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001589.3,0.07,0.93,2,saccharide,exopolysaccharides,Burkholderia cenocepacia J2315,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001215.5,0.08,0.92,3,NRPS,conglobatin,Streptomyces conglobatus,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0000883.5,0.09,0.91,4,other (other),arginomycin,Streptomyces arginensis,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001100.5,0.09,0.91,5,"NRPS, PKS",lankacidin C,Streptomyces rochei,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001838.4,0.09,0.91,6,NRPS,WLIP,Pseudomonas putida,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001860.4,0.1,0.9,7,ribosomal,thiomuracin,Thermobispora bispora DSM 43833,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001992.3,0.1,0.9,8,other (other),thioguanine,Erwinia amylovora CFBP1430,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0000613.5,0.1,0.9,9,ribosomal,thiomuracin A,Nonomuraea sp. Bp3714-39,Arctic Ocean,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000229.5,0.12,0.88,10,"PKS, saccharide",grincamycin,Streptomyces lusitanus,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000232.5,0.13,0.87,11,PKS,"hatomarubigin A, hatomarubigin B, hatomarubigin C, hatomarubigin D",Streptomyces sp. 2238-SVT4,Coral reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0000255.5,0.13,0.87,12,PKS,pederin,Uncultured bacterium,Arctic Ocean,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002400.2,0.14,0.86,13,terpene,boleracene,Brassica oleracea var. oleracea,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000319.5,0.14,0.86,14,NRPS,cephamycin C,Streptomyces clavuligerus ATCC 27064,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001140.5,0.15,0.85,15,terpene,"platensimycin, platencin, thioplatensimycin, thioplatencin, platensilin, thioplatensilin",Streptomyces platensis,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001156.5,0.16,0.84,16,terpene,platencin,Streptomyces platensis,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002397.2,0.16,0.84,17,terpene,astallatene,Arabidopsis thaliana,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001361.3,0.18,0.82,18,terpene,sodorifen,Serratia plymuthica 4Rx13,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002283.2,0.18,0.82,19,terpene,sodorifen,Serratia plymuthica,Coral reef,antiSMASH
Cladosporium halotolerans,BGC0001373.3,0.18,0.82,20,PKS,sordarin,Sordaria araneosa,Coastal sea water,antiSMASH
Pyrococcus furiosus DSM 3642,BGC0002141.3,0.18,0.82,21,PKS,trioxacarcin A,Streptomyces bottropensis DO-45,Marine sediment,antiSMASH
Colwellia psychrerythraea 34H,BGC0001586.3,0.19,0.81,22,saccharide,EPS273,Pseudomonas stutzeri,Arctic Ocean,antiSMASH
Salinispora tropica CNB-529,BGC0002294.3,0.19,0.81,23,other (other),streptozotocin,Streptomyces achromogenes subsp. streptozoticus,Marine Sponge,antiSMASH
Marivita sp. LZ-15-62,BGC0001285.5,0.19,0.81,24,other (fatty acid),"pseudopyronine A, pseudopyronine B",Pseudomonas putida,Marine water,antiSMASH
Tropicibacter alexandrii,BGC0001285.5,0.19,0.81,25,other (fatty acid),"pseudopyronine A, pseudopyronine B",Pseudomonas putida,Marine Dinoflagellate,antiSMASH
Marinobacter nauticus,BGC0001635.4,0.2,0.8,26,"NRPS, PKS",kistamicin A,Nonomuraea sp. ATCC 55076,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0001732.5,0.2,0.8,27,other (other),paulomycin,Streptomyces sp. YN86,Seawater layers,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001373.3,0.2,0.8,28,PKS,sordarin,Sordaria araneosa,Coral Reef,antiSMASH
Thalassiosira pseudonana,BGC0001339.5,0.2,0.8,29,PKS,squalestatin S1,Phoma sp. MF5453,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49268,BGC0001041.4,0.2,0.8,30,"NRPS, PKS",salinosporamide A,Salinispora tropica CNB-440,Antarctic hypersaline,antiSMASH
Pyrococcus furiosus DSM 3641,BGC0002788.2,0.2,0.8,31,PKS,14-hydroxyisochainin,Streptomyces peucetius subsp. caesius ATCC 27952,Marine sediment,antiSMASH
Tropicibacter alexandrii,BGC0002028.4,0.2,0.8,32,PKS,frigocyclinone,Streptomyces griseus,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000446.5,0.2,0.8,33,NRPS,"tilivalline, 9-deoxy tilivalline, dihydroxy tilivalline, dehydro tilivalline, dihydroxy-dehydro tilivalline",Klebsiella oxytoca,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001083.5,0.2,0.8,34,"PKS, terpene","merochlorin A, merochlorin B, deschloro-merochlorin A, deschloro-merochlorin B, isochloro-merochlorin B, dichloro-merochlorin B, merochlorin D, merochlorin C",Streptomyces sp. CNH189,Marine Dinoflagellate,antiSMASH
